All time measurements in ms.  Number of clients:  2  per host. Number of hosts:  2
Run, Put, Get, Commit, Thrput, AbortRatio, Latency(s), Retries/txn(s), Latency(f), Retries/txn(f), Thrput(merged), Skew
0,0.01/0.01,0.29/0.29,1.29/1.76,744.3/665.1,0.02/0.01,2.5/2.77,0.0/0.0,2.93/23.06,0.0/0.0,1414.5,-0.02
1,0.01/0.01,0.28/0.31,1.73/1.32,676.8/717.6,0.02/0.01,2.49/2.63,0.0/0.0,27.31/3.23,0.0/0.0,1428.9,0.22
2,0.01/0.01,0.28/0.29,1.7/1.76,694.5/653.4,0.01/0.01,2.87/2.82,0.0/0.0,2.85/19.11,0.0/0.0,1349.4,0.31
3,0.01/0.01,0.25/0.27,1.53/2.74,501.9/507.6,0.01/0.01,2.32/2.41,0.0/0.0,52.47/159.54,0.0/0.31,1013.4,0.36
4,0.01/0.01,0.29/0.3,1.3/1.31,788.4/771.0,0.02/0.02,2.52/2.58,0.0/0.0,2.83/3.13,0.0/0.0,1561.8,0.43
5,0.01/0.01,0.27/0.29,2.66/2.57,543.3/592.8,0.01/0.02,3.0/2.55,0.0/0.0,65.2/86.52,0.0/0.13,1123.2,0.46
6,0.01/0.01,0.29/0.3,1.49/1.32,779.7/764.7,0.01/0.02,2.52/2.6,0.0/0.0,16.23/3.07,0.0/0.0,1544.1,0.36
7,0.01/0.01,0.29/0.29,1.3/1.52,785.4/694.5,0.01/0.02,2.53/2.54,0.0/0.0,2.96/17.08,0.0/0.0,1495.5,0.3
8,0.01/0.01,0.28/0.29,1.98/1.5,636.3/723.3,0.02/0.01,2.42/2.76,0.0/0.0,41.36/2.79,0.03/0.0,1362.3,0.23
9,0.01/0.01,0.29/0.29,1.49/1.32,736.8/766.5,0.01/0.02,2.7/2.59,0.0/0.0,2.97/3.11,0.0/0.0,1506.3,0.2
