All time measurements in ms.  Number of clients:  4  per host. Number of hosts:  5,,,,,,,,,,,
Run, Put, Get, Commit, Thrput, AbortRatio, Latency(s), Retries/txn(s), Latency(f), Retries/txn(f), Skew, Thrput(merged)
0,0.009/0.008/0.006/0.006/0.006,0.488/0.492/0.508/0.476/0.481,1.621/1.574/1.259/1.554/1.393,1100.4/1100.1/1186.5/1126.2/1171.8,0.046/0.053/0.064/0.057/0.063,3.543/3.565/3.258/3.484/3.329,0.009/0.001/0.001/0.002/0.001,5.346/4.728/4.872/4.492/4.519,0.521/0.01/0.563/0.206/0.383,-1.54/1.79/1.29/0.93,5694.0
1,0.009/0.007/0.005/0.005/0.005,0.484/0.492/0.51/0.471/0.49,1.564/1.589/1.217/1.533/1.364,1122.3/1096.8/1195.8/1135.8/1206.0,0.048/0.05/0.055/0.057/0.052,3.503/3.589/3.278/3.46/3.345,0.001/0.004/0.002/0.001/0.0,4.62/4.59/4.34/4.376/4.143,0.096/0.087/0.151/0.079/0.0,-1.55/1.75/1.3/0.99,5748.3
2,0.009/0.009/0.005/0.006/0.005,0.485/0.49/0.484/0.469/0.497,1.62/1.619/1.446/1.575/1.275,1093.8/1092.6/1145.1/1119.0/1182.6,0.054/0.055/0.048/0.055/0.045,3.58/3.577/3.454/3.431/3.322,0.011/0.009/0.0/0.006/0.001,4.844/4.916/4.056/4.91/4.437,0.325/0.308/0.0/0.476/0.266,-1.56/1.73/1.3/1.04,5652.6
3,0.009/0.009/0.005/0.006/0.006,0.49/0.493/0.51/0.471/0.498,1.568/1.588/1.233/1.533/1.25,1104.9/1098.6/1200.9/1139.7/1194.3,0.044/0.046/0.05/0.054/0.051,3.566/3.577/3.265/3.446/3.285,0.001/0.009/0.001/0.001/0.0,4.594/4.808/4.394/4.466/4.339,0.062/0.096/0.176/0.078/0.0,-1.67/1.65/1.24/0.99,5736.3
4,0.009/0.008/0.006/0.006/0.006,0.488/0.494/0.512/0.474/0.495,1.598/1.617/1.232/1.542/1.242,1091.1/1084.2/1190.7/1137.0/1218.6,0.059/0.062/0.051/0.046/0.049,3.584/3.606/3.292/3.47/3.231,0.006/0.009/0.003/0.003/0.002,4.818/4.809/4.411/4.313/4.106,0.144/0.229/0.228/0.115/0.066,-1.79/1.55/1.19/0.95,5721.0
5,0.008/0.009/0.006/0.005/0.006,0.487/0.496/0.511/0.478/0.499,1.599/1.604/1.23/1.567/1.262,1097.4/1082.1/1186.8/1119.0/1212.0,0.055/0.054/0.051/0.053/0.05,3.589/3.622/3.318/3.502/3.23,0.005/0.004/0.001/0.004/0.002,4.45/4.828/4.156/4.69/4.449,0.095/0.197/0.14/0.245/0.245,-1.85/1.55/1.21/0.97,5699.4
6,0.009/0.009/0.005/0.006/0.006,0.485/0.49/0.493/0.47/0.496,1.609/1.618/1.358/1.542/1.273,1094.7/1088.1/1171.5/1148.7/1200.3,0.056/0.054/0.05/0.053/0.055,3.565/3.597/3.208/3.419/3.256,0.007/0.014/0.002/0.003/0.003,5.012/4.869/7.164/4.446/4.444,0.314/0.246/0.366/0.212/0.32,-1.91/1.55/1.22/0.99,5692.2
7,0.009/0.008/0.005/0.005/0.006,0.485/0.493/0.512/0.467/0.482,1.571/1.586/1.223/1.539/1.379,1123.8/1096.8/1195.8/1140.3/1170.6,0.047/0.051/0.049/0.047/0.05,3.504/3.598/3.281/3.452/3.367,0.004/0.007/0.002/0.001/0.002,4.474/4.379/4.411/4.45/4.186,0.091/0.106/0.108/0.09/0.183,-2.03/1.45/1.14/0.92,5724.9
8,0.01/0.009/0.006/0.006/0.006,0.489/0.49/0.509/0.478/0.482,1.596/1.626/1.233/1.529/1.259,1100.4/1086.9/1180.8/1145.1/1174.5,0.043/0.046/0.05/0.045/0.052,3.575/3.608/3.321/3.444/3.203,0.006/0.015/0.002/0.002/0.006,4.768/4.936/4.444/4.34/4.497,0.31/0.305/0.258/0.087/0.406,-2.19/1.36/1.09/0.83,5708.4
9,0.009/0.009/0.005/0.005/0.005,0.484/0.492/0.508/0.473/0.496,1.606/1.622/1.229/1.532/1.262,1096.2/1086.3/1200.6/1141.8/1200.0,0.063/0.062/0.041/0.038/0.049,3.559/3.606/3.272/3.456/3.273,0.008/0.014/0.002/0.0/0.004,4.84/4.678/4.487/4.463/4.33,0.216/0.16/0.287/0.0/0.118,-2.29/1.28/1.01/0.78,5728.8
