All time measurements in ms.  Number of clients:  1,,,,,,,,,
Run, Put, Get, Commit, txn/sec, AbortRatio, Latency(s), Retries/txn(s), Latency(f), Retries/txn(f)
0,0.01,0.21,1.12,488.8,0,2.04,0,0,0
1,0.01,0.21,1.12,489.5,0,2.04,0,0,0
2,0.01,0.21,1.35,442.4,0,2.25,0,0,0
3,0.01,0.21,1.12,481.5,0,2.03,0,0,0
4,0.01,0.21,1.12,485.2,0,2.05,0,0,0
5,0.01,0.21,1.12,488.4,0,2.04,0,0,0
6,0.01,0.22,1.23,463.8,0,2.15,0,0,0
7,0.01,0.21,1.12,490.9,0,2.03,0,0,0
8,0.01,0.21,1.12,488.9,0,2.04,0,0,0
9,0.01,0.21,1.12,488,0,2.04,0,0,0
Average,0.01,0.21,1.15,480.74,0,2.07,0,0,0
,,,,,,,,,
,,,,,,,,,
All time measurements in ms.  Number of clients:  2,,,,,,,,,
Run, Put, Get, Commit, txn/sec, AbortRatio, Latency(s), Retries/txn(s), Latency(f), Retries/txn(f)
0,0.01,0.25,1.52,759,0.01,2.32,0,53.91,0
1,0.01,0.22,83.88,24.2,0.17,2.04,0,502.94,0
2,0.01,0.25,1.32,833.2,0.01,2.27,0,24.72,0
3,0.01,0.25,1.27,847.7,0.01,2.35,0,2.74,0
4,0.01,0.25,6.37,261.7,0.01,2.47,0,354.43,0.03
5,0.01,0.25,1.27,848.6,0.01,2.29,0,14.01,0
6,0.01,0.25,1.39,811.7,0,2.39,0,17.05,0
7,0.01,0.25,1.33,831,0,2.4,0,2.54,0
8,0.01,0.25,1.33,831.8,0,2.34,0,15.85,0
9,0.01,0.25,1.39,815.2,0.01,2.32,0,25.77,0
Average,0.01,0.25,10.11,686.41,0.02,2.32,0,101.4,0
,,,,,,,,,
,,,,,,,,,
All time measurements in ms.  Number of clients:  4,,,,,,,,,
Run, Put, Get, Commit, txn/sec, AbortRatio, Latency(s), Retries/txn(s), Latency(f), Retries/txn(f)
0,0.01,0.37,2.43,987.6,0.01,4,0,3.65,0
1,0.01,0.38,1.62,1259.7,0.02,2.97,0,17.9,0
2,0.01,0.38,1.5,1288.8,0.02,2.97,0,10.16,0.01
3,0.01,0.38,1.5,1287.6,0.01,3.09,0,3.66,0
4,0.01,0.37,1.61,1255.5,0.02,2.93,0,17.36,0.01
5,0.01,0.37,3.72,702.3,0.02,3.56,0,103.65,0.05
6,0.01,0.37,1.89,1145.1,0.02,3.17,0,21.03,0.02
7,0.01,0.4,1.4,1313.7,0.02,3.03,0,3.55,0
8,0.01,0.36,1.86,1186.2,0.01,3.11,0,24.82,0
9,0.01,0.36,1.85,1198.8,0.02,2.95,0,25.76,0.01
Average,0.01,0.37,1.94,1162.53,0.02,3.18,0,23.16,0.01
