java -cp /home/ubuntu/CockroachDB-ycsb/postgresql-42.2.2.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/jdbc-binding/conf:/home/ubuntu/CockroachDB-ycsb/ycsb/conf:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/openjpa-jdbc-2.1.1.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/serp-1.13.1.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/commons-collections-3.2.1.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/commons-lang-2.4.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/core-0.12.0.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/commons-pool-1.5.4.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/geronimo-jta_1.1_spec-1.1.1.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/openjpa-lib-2.1.1.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/openjpa-kernel-2.1.1.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/HdrHistogram-2.1.4.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/jdbc-binding-0.12.0.jar:/home/ubuntu/CockroachDB-ycsb/ycsb/lib/geronimo-jms_1.1_spec-1.1.1.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.db.JdbcDBClient -P /home/ubuntu/CockroachDB-ycsb/workloads/workload50 -P /home/ubuntu/CockroachDB-ycsb/cockroachdb.properties -threads 1 -p db.url=jdbc:postgresql://172.31.20.205:26257/test -p measurementtype=histogram -p histogram.buckets=25 -p operationcount=300000 -t
YCSB Client 0.12.0
Command line: -db com.yahoo.ycsb.db.JdbcDBClient -P /home/ubuntu/CockroachDB-ycsb/workloads/workload50 -P /home/ubuntu/CockroachDB-ycsb/cockroachdb.properties -threads 1 -p db.url=jdbc:postgresql://172.31.20.205:26257/test -p measurementtype=histogram -p histogram.buckets=25 -p operationcount=300000 -t
Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://172.31.20.205:26257/test
Using shards: 1, batchSize:-1, fetchSize: -1
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
[OVERALL], RunTime(ms), 527835.0
[OVERALL], Throughput(ops/sec), 568.3594305038506
[TOTAL_GCS_PS_Scavenge], Count, 19.0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 22.0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.004167969157028238
[TOTAL_GCS_PS_MarkSweep], Count, 0.0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0.0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 19.0
[TOTAL_GC_TIME], Time(ms), 22.0
[TOTAL_GC_TIME_%], Time(%), 0.004167969157028238
[READ], Operations, 149563
[READ], AverageLatency(us), 961.0421962651191
[READ], LatencyVariance(us), 393880.0231119954
[READ], MinLatency(us), 586
[READ], MaxLatency(us), 51378
[READ], 95thPercentileLatency(us), 1000
[READ], 99thPercentileLatency(us), 2000
[READ], Return=OK, 149563
[READ], 0, 74594
[READ], 1, 73189
[READ], 2, 700
[READ], 3, 288
[READ], 4, 163
[READ], 5, 143
[READ], 6, 163
[READ], 7, 138
[READ], 8, 51
[READ], 9, 40
[READ], 10, 20
[READ], 11, 22
[READ], 12, 13
[READ], 13, 7
[READ], 14, 7
[READ], 15, 4
[READ], 16, 1
[READ], 17, 3
[READ], 18, 2
[READ], 19, 1
[READ], 20, 1
[READ], 21, 1
[READ], 22, 0
[READ], 23, 2
[READ], 24, 1
[READ], >25, 9
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 263.0
[CLEANUP], LatencyVariance(us), 0.0
[CLEANUP], MinLatency(us), 263
[CLEANUP], MaxLatency(us), 263
[CLEANUP], 95thPercentileLatency(us), 0
[CLEANUP], 99thPercentileLatency(us), 0
[CLEANUP], 0, 1
[CLEANUP], 1, 0
[CLEANUP], 2, 0
[CLEANUP], 3, 0
[CLEANUP], 4, 0
[CLEANUP], 5, 0
[CLEANUP], 6, 0
[CLEANUP], 7, 0
[CLEANUP], 8, 0
[CLEANUP], 9, 0
[CLEANUP], 10, 0
[CLEANUP], 11, 0
[CLEANUP], 12, 0
[CLEANUP], 13, 0
[CLEANUP], 14, 0
[CLEANUP], 15, 0
[CLEANUP], 16, 0
[CLEANUP], 17, 0
[CLEANUP], 18, 0
[CLEANUP], 19, 0
[CLEANUP], 20, 0
[CLEANUP], 21, 0
[CLEANUP], 22, 0
[CLEANUP], 23, 0
[CLEANUP], 24, 0
[CLEANUP], >25, 0
[UPDATE], Operations, 150437
[UPDATE], AverageLatency(us), 2549.8298091559923
[UPDATE], LatencyVariance(us), 2746171.163407963
[UPDATE], MinLatency(us), 1486
[UPDATE], MaxLatency(us), 207303
[UPDATE], 95thPercentileLatency(us), 3000
[UPDATE], 99thPercentileLatency(us), 7000
[UPDATE], Return=OK, 150437
[UPDATE], 0, 0
[UPDATE], 1, 67984
[UPDATE], 2, 59701
[UPDATE], 3, 17632
[UPDATE], 4, 1514
[UPDATE], 5, 826
[UPDATE], 6, 756
[UPDATE], 7, 578
[UPDATE], 8, 456
[UPDATE], 9, 308
[UPDATE], 10, 148
[UPDATE], 11, 119
[UPDATE], 12, 74
[UPDATE], 13, 61
[UPDATE], 14, 49
[UPDATE], 15, 38
[UPDATE], 16, 30
[UPDATE], 17, 25
[UPDATE], 18, 18
[UPDATE], 19, 10
[UPDATE], 20, 16
[UPDATE], 21, 11
[UPDATE], 22, 8
[UPDATE], 23, 9
[UPDATE], 24, 8
[UPDATE], >25, 58
