YCSB Client 0.1
Command line: -P workloads/workload100 -t -db com.yahoo.ycsb.db.TapirClient -s -p tapir.configpath=../store/tools/shard -p tapir.nshards=8 -p tapir.closestreplica=2 -p measurement.type=histogram -p histogram.buckets=25 -threads 5 -p operationcount=300000
Loading workload...
Starting test.
 0 sec: 0 operations; 
 10 sec: 28681 operations; 2858.38 current ops/sec; [READ AverageLatency(us)=467.48] [COMMIT AverageLatency(us)=1265.6] [START AverageLatency(us)=0.83] 
 20 sec: 57889 operations; 2919.92 current ops/sec; [READ AverageLatency(us)=452.59] [COMMIT AverageLatency(us)=1253.43] [START AverageLatency(us)=0.8] 
 30 sec: 87173 operations; 2928.4 current ops/sec; [READ AverageLatency(us)=450.52] [COMMIT AverageLatency(us)=1251.85] [START AverageLatency(us)=0.76] 
 40 sec: 116461 operations; 2927.34 current ops/sec; [READ AverageLatency(us)=450.45] [COMMIT AverageLatency(us)=1252.74] [START AverageLatency(us)=0.77] 
 50 sec: 145800 operations; 2933.61 current ops/sec; [READ AverageLatency(us)=448.88] [COMMIT AverageLatency(us)=1250.72] [START AverageLatency(us)=0.77] 
 60 sec: 175105 operations; 2930.5 current ops/sec; [READ AverageLatency(us)=450.77] [COMMIT AverageLatency(us)=1250.82] [START AverageLatency(us)=0.78] 
 70 sec: 204397 operations; 2927.74 current ops/sec; [READ AverageLatency(us)=451.08] [COMMIT AverageLatency(us)=1252.06] [START AverageLatency(us)=0.77] 
 80 sec: 233641 operations; 2924.4 current ops/sec; [READ AverageLatency(us)=451.05] [COMMIT AverageLatency(us)=1254.25] [START AverageLatency(us)=0.77] 
 90 sec: 263066 operations; 2942.21 current ops/sec; [READ AverageLatency(us)=446.37] [COMMIT AverageLatency(us)=1248.48] [START AverageLatency(us)=0.76] 
 100 sec: 293974 operations; 3090.49 current ops/sec; [READ AverageLatency(us)=404.69] [COMMIT AverageLatency(us)=1208.63] [START AverageLatency(us)=0.76] 
Database validation succeeded
 102 sec: 300000 operations; 2883.25 current ops/sec; [READ AverageLatency(us)=396.16] [COMMIT AverageLatency(us)=1200.52] [START AverageLatency(us)=0.78] [OVERALL], RunTime(ms), 102138.0
[OVERALL], Throughput(ops/sec), 2937.202608235916
[READ], Operations, 300000
[READ], AverageLatency(us), 446.08714
[READ], MinLatency(us), 172
[READ], MaxLatency(us), 10360
[READ], 95thPercentileLatency(ms), 0
[READ], 99thPercentileLatency(ms), 1
[READ], Return=0, 300000
[READ], 0, 290409
[READ], 1, 9448
[READ], 2, 109
[READ], 3, 16
[READ], 4, 10
[READ], 5, 3
[READ], 6, 2
[READ], 7, 1
[READ], 8, 1
[READ], 9, 0
[READ], 10, 1
[READ], 11, 0
[READ], 12, 0
[READ], 13, 0
[READ], 14, 0
[READ], 15, 0
[READ], 16, 0
[READ], 17, 0
[READ], 18, 0
[READ], 19, 0
[READ], 20, 0
[READ], 21, 0
[READ], 22, 0
[READ], 23, 0
[READ], 24, 0
[READ], >25, 0
[COMMIT], Operations, 300000
[COMMIT], AverageLatency(us), 1247.6332133333333
[COMMIT], MinLatency(us), 1021
[COMMIT], MaxLatency(us), 9971
[COMMIT], 95thPercentileLatency(ms), 1
[COMMIT], 99thPercentileLatency(ms), 1
[COMMIT], Return=0, 300000
[COMMIT], 0, 0
[COMMIT], 1, 298617
[COMMIT], 2, 1082
[COMMIT], 3, 122
[COMMIT], 4, 108
[COMMIT], 5, 45
[COMMIT], 6, 12
[COMMIT], 7, 8
[COMMIT], 8, 4
[COMMIT], 9, 2
[COMMIT], 10, 0
[COMMIT], 11, 0
[COMMIT], 12, 0
[COMMIT], 13, 0
[COMMIT], 14, 0
[COMMIT], 15, 0
[COMMIT], 16, 0
[COMMIT], 17, 0
[COMMIT], 18, 0
[COMMIT], 19, 0
[COMMIT], 20, 0
[COMMIT], 21, 0
[COMMIT], 22, 0
[COMMIT], 23, 0
[COMMIT], 24, 0
[COMMIT], >25, 0
[START], Operations, 300000
[START], AverageLatency(us), 0.77521
[START], MinLatency(us), 0
[START], MaxLatency(us), 38
[START], 95thPercentileLatency(ms), 0
[START], 99thPercentileLatency(ms), 0
[START], Return=0, 300000
[START], 0, 300000
[START], 1, 0
[START], 2, 0
[START], 3, 0
[START], 4, 0
[START], 5, 0
[START], 6, 0
[START], 7, 0
[START], 8, 0
[START], 9, 0
[START], 10, 0
[START], 11, 0
[START], 12, 0
[START], 13, 0
[START], 14, 0
[START], 15, 0
[START], 16, 0
[START], 17, 0
[START], 18, 0
[START], 19, 0
[START], 20, 0
[START], 21, 0
[START], 22, 0
[START], 23, 0
[START], 24, 0
[START], >25, 0

